
 Status
 ------
Stopped
2025-12-01 10:29:39 +07 LOG:  redo done at 0/1845180 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-01 10:29:39 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-01 10:29:39 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.008 s, total=0.049 s; sync files=2, longest=0.004 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/18451B8, redo lsn=0/18451B8
2025-12-01 11:36:11 +07 LOG:  database system was interrupted; last known up at 2025-12-01 10:29:39 +07
2025-12-01 11:36:14 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-12-01 11:36:14 +07 LOG:  redo starts at 0/1845230
2025-12-01 11:36:14 +07 LOG:  invalid record length at 0/1845268: expected at least 24, got 0
2025-12-01 11:36:14 +07 LOG:  redo done at 0/1845230 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-01 11:36:14 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-01 11:36:14 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.009 s, total=0.051 s; sync files=2, longest=0.007 s, average=0.005 s; distance=0 kB, estimate=0 kB; lsn=0/1845268, redo lsn=0/1845268
2025-12-02 04:56:49 +07 LOG:  database system was interrupted; last known up at 2025-12-01 11:36:14 +07
2025-12-02 04:56:51 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-12-02 04:56:51 +07 LOG:  redo starts at 0/18452E0
2025-12-02 04:56:51 +07 LOG:  invalid record length at 0/1845318: expected at least 24, got 0
2025-12-02 04:56:51 +07 LOG:  redo done at 0/18452E0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-02 04:56:51 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-02 04:56:51 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.007 s, total=0.039 s; sync files=2, longest=0.005 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/1845318, redo lsn=0/1845318
2025-12-06 04:44:46 +07 LOG:  shutting down
2025-12-06 04:44:46 +07 LOG:  checkpoint starting: shutdown immediate
2025-12-06 04:44:46 +07 ERROR:  canceling statement due to user request
2025-12-06 04:44:46 +07 ERROR:  canceling statement due to user request
2025-12-06 04:44:46 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.001 s, total=0.061 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/18453C8, redo lsn=0/18453C8
2025-12-06 04:45:17 +07 LOG:  database system was shut down at 2025-12-06 04:44:46 +07
2025-12-06 05:09:23 +07 LOG:  checkpoint starting: time
2025-12-06 05:09:23 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.008 s, total=0.047 s; sync files=2, longest=0.006 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/18454D0, redo lsn=0/1845478
2025-12-07 08:03:01 +07 LOG:  database system was interrupted; last known up at 2025-12-06 05:09:23 +07
2025-12-07 08:03:05 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-12-07 08:03:05 +07 LOG:  redo starts at 0/1845478
2025-12-07 08:03:05 +07 LOG:  invalid record length at 0/1845580: expected at least 24, got 0
2025-12-07 08:03:05 +07 LOG:  redo done at 0/1845548 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-07 08:03:05 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-07 08:03:05 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.012 s, total=0.052 s; sync files=2, longest=0.006 s, average=0.006 s; distance=0 kB, estimate=0 kB; lsn=0/1845580, redo lsn=0/1845580
2025-12-12 05:07:31 +07 LOG:  shutting down
2025-12-12 05:07:31 +07 LOG:  checkpoint starting: shutdown immediate
2025-12-12 05:07:31 +07 ERROR:  canceling statement due to user request
2025-12-12 05:07:31 +07 ERROR:  canceling statement due to user request
2025-12-12 05:07:31 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.011 s, sync=0.001 s, total=0.092 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1845630, redo lsn=0/1845630
2025-12-12 05:08:02 +07 LOG:  database system was shut down at 2025-12-12 05:07:31 +07
2025-12-12 05:09:41 +07 LOG:  shutting down
2025-12-12 05:09:41 +07 LOG:  checkpoint starting: shutdown immediate
2025-12-12 05:09:41 +07 ERROR:  canceling statement due to user request
2025-12-12 05:09:41 +07 ERROR:  canceling statement due to user request
